username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data
;2018-04-30 06:33;0;0;"nakita ko na ulit ang mayon!! HAHAHAHAHAHAHA";;;;"990720663697567744";https://twitter.com/mandezon_/status/990720663697567744
;2018-04-30 06:13;0;0;"Capping off # GenGetsRitchedWeddingTour with the majestic Mayon in the background. DIOS MAGBALOS… https://www.instagram.com/p/BiK7MqCjNT7/";;;#;"990715708660113409";https://twitter.com/runningfatboy/status/990715708660113409
;2018-04-30 06:03;0;0;"THE FAMOUS MAYON VOLCANO AND THE BEAUTY BEHIND IT THANKS TO RICK FROM AMERICA: http://youtu.be/GXpbGLmt7j0?a via @ YouTube";;@;;"990713124784254977";https://twitter.com/terenceflannery/status/990713124784254977
;2018-04-30 05:00;0;0;"World’s Most Perfect Cone. Majestic Mayon! # GenGetsRitched # GenGetsRitchedWeddingTour @Legazpi… https://www.instagram.com/p/BiKyzP1jRrm/";;@Legazpi;# #;"990697247263412229";https://twitter.com/runningfatboy/status/990697247263412229
;2018-04-30 03:05;0;2;"É pai, já já aquele amistoso para ficar de boa";;;;"990668475063590913";https://twitter.com/lisboa_mayon/status/990668475063590913
;2018-04-30 02:36;0;1;"أشتقت لك .. من بعد سبعة ليالّ عجاف";;;;"990660990667776000";https://twitter.com/Mayon_39/status/990660990667776000
;2018-04-30 02:22;0;1;"Aí sim bora bora";;;;"990657592232960000";https://twitter.com/igorvalentee/status/990657592232960000
;2018-04-30 01:56;0;6;"I’ve been called siopao, mojacko, bola, dimsum, bilog, panda... kung ang Mayon ay tinaguriang perfect cone-shaped volcano, ako naman ay perfect round-shaped face na piggy oink Panginoon, bakit ganito";;;;"990650983066685440";https://twitter.com/jhnlsh/status/990650983066685440
;2018-04-30 01:12;0;0;"札束が落ちてる最高の村にゃ！ みんなに教えるといいことあるにゃ～ https://play.google.com/store/apps/details?id=com.AND48.NarikinDentetsu … # 成金電鉄 # アンドロイド48";;;# #;"990639891074592768";https://twitter.com/datemaki_mayon/status/990639891074592768
;2018-04-30 00:51;0;0;"@ narendramodi black impossible. As Black were descendents of Mayon/ Vishnu. So Krishna could not take them as wives being Vishnu incarnation himself.";;@;;"990634630687555584";https://twitter.com/sonali_ck/status/990634630687555584
;2018-04-30 00:48;0;0;"@ narendramodi Indians were there . Habissa people were there. Cameroon mayon people exported from North America still speak Tamil";;@;;"990633890199945216";https://twitter.com/sonali_ck/status/990633890199945216
;2018-04-30 00:21;0;1;"Troll signs: - me Numbers sa twitter handle - konti followers - nag RT At like ng sariling tweet - ginawa para magmura, manakot at mang bash ng mga anti duterte. Panalo Ka Fin!!!Yehey!!!Isa kang verified troll! Punta ka sa malacañang, hanapin mo mayon volcano for your prize.";;;;"990627171306688512";https://twitter.com/Gabgrielle/status/990627171306688512
;2018-04-30 00:05;0;1;"Excited na akong... Makakain ng super mega ultra special bibingka uli Makita mayon volcano uli Makapunta sa matnog uli Makadaan sa mej gubat ng walang kasabay loljk Makatulog sa may dpwh office sa bundok sa may Visayas heh. Sana uli Makita magandang dagat sa dulo ng visayas ....";;;;"990623184184426502";https://twitter.com/mowrielle/status/990623184184426502
;2018-04-29 23:42;0;0;"BAKIT NASA NAGA ANG MAYON? — NAGBAKASYON!!! https://curiouscat.me/jstnsntlln_/post/438816477?1525016563 …";;;;"990617383567052801";https://twitter.com/justineabigail_/status/990617383567052801
;2018-04-29 23:22;0;0;"nakikipag-titigan sa mayon habang nagpapatuyo ng buhok atm";;;;"990612286787080193";https://twitter.com/heygiggles/status/990612286787080193
;2018-04-29 23:13;0;0;"Philippines travel advice 3:30pm, 29 April 2018: Latest Update: Summary – Labor Day protests are scheduled to take place in several provinces and cities on Tuesday 1 May. Additional information on Mayon volcano activity in Albay Province .. # TravelAdvice http://www.travelmoneyfinder.com/index.php#fco-1525012406 …";;;# #fco;"990609924987215872";https://twitter.com/travelmoneyfind/status/990609924987215872
;2018-04-29 23:04;0;2;"Ilaban natin ngayon ang bulkang mayon https://curiouscat.me/rafaelsamortin";;;;"990607698176569344";https://twitter.com/rafaelsamortin/status/990607698176569344
;2018-04-29 23:03;1;2;"Pensa em uma diretora arrochada. Kkkkk";;;;"990607508220858368";https://twitter.com/lisboa_mayon/status/990607508220858368
;2018-04-29 23:02;0;2;"Obriguei mesmo";;;;"990607370953936897";https://twitter.com/amoanara/status/990607370953936897
;2018-04-29 23:01;0;0;"Ha sim. Kkkkk";;;;"990607123007582219";https://twitter.com/lisboa_mayon/status/990607123007582219
;2018-04-29 22:46;0;0;"Nageemote si inday habang nakatanaw sa magandang view ng bulkang mayon pic.twitter.com/nDZ1pPQRNA";;;;"990603350591750144";https://twitter.com/torres_amme/status/990603350591750144
;2018-04-29 22:15;0;5;"Mayon was shy. I wasn't. pic.twitter.com/kRlR2FpGVV";;;;"990595313139249155";https://twitter.com/yesitsvberni/status/990595313139249155
;2018-04-29 22:10;0;0;"Que sono é esse ?";;;;"990594185861500928";https://twitter.com/lisboa_mayon/status/990594185861500928
;2018-04-29 22:08;0;0;"Mayon’s Green Lava Trail . . . . . # itsmorefuninthephilippines # RusselTravel # philippines… https://www.instagram.com/p/BiKDvbPAuW0/";;;# # #;"990593757039943680";https://twitter.com/akosiMRS/status/990593757039943680
;2018-04-29 22:04;0;0;"yung bantay sa mayon, sumasayaw ng bboom bboom HAHAHAHAHAHA";;;;"990592636548399104";https://twitter.com/jhnmlxx/status/990592636548399104
;2018-04-29 22:00;6;31;"Hindi nasusukat sa dami ng engagement sa SocMed ang katotohanan. Kahit maraming engagements, likes, RT and views si Mocha sa SocMed, hindi noon mababago na ang Mayon ay nasa Albay at wala sa Naga https://twitter.com/reyjuico/status/990500714051862528 …";;;;"990591615923187713";https://twitter.com/j3nr0se/status/990591615923187713
;2018-04-29 21:59;1;22;"Hindi nasusukat sa dami ng engagement sa SocMed ang katotohanan. Kahit maraming engagements, likes, RT and views si Mocha sa SocMed, hindi noon mababago na ang Mayon ay nasa Albay at wala sa Naga";;;;"990591453486182401";https://twitter.com/j3nr0se/status/990591453486182401
;2018-04-29 21:57;0;2;"Sobrang ganda ng Mayon gusto ko tumalon sa loob.";;;;"990590973016096768";https://twitter.com/Tyrannozyrus/status/990590973016096768
;2018-04-29 21:55;0;0;"店イメージサウンドトラック https://youtu.be/v712NiVK5uY (シリアス回) https://youtu.be/Zzo6L3wsf8c (通常)";;;;"990590393342283776";https://twitter.com/mayon_sosaku/status/990590393342283776
;2018-04-29 21:46;1;1;"Current ringtone # Mayon # Mersal # Arr";;;# # #;"990588137574318085";https://twitter.com/josh_offl/status/990588137574318085
;2018-04-29 21:42;0;0;"湯船にゆっくり浸かって脚のむくみを取るぞ〜";;;;"990587172750213121";https://twitter.com/mayon_nai_se/status/990587172750213121
;2018-04-29 21:38;0;0;"『お兄さんの下側が気になるって？それじゃあ特別に見せてあげよう〜。▼』 『…………………。っていっても立ち絵がないから見れないんだけどねぇ…ﾆｼｼ。▼』";;;;"990586215530356736";https://twitter.com/mayon_sosaku/status/990586215530356736
;2018-04-29 21:37;0;0;"berapa sur mayon?";;;;"990585789749706752";https://twitter.com/faeezizzham/status/990585789749706752
;2018-04-29 21:37;0;0;"『それが欲しいのかい？▼』 『まいど〜、またおいで〜▼』 『おや？今日はそれを売るのかい？▼』 『お兄さんは"売る"専門なんだけどねぇ…▼』";;;;"990585760423149568";https://twitter.com/mayon_sosaku/status/990585760423149568
;2018-04-29 21:33;0;0;"人の子で金を稼ぐ…あかんやつや←";;;;"990584851593023488";https://twitter.com/mayon_sosaku/status/990584851593023488
;2018-04-29 21:33;0;0;"『芥子堂…ケシ。人を惑わす魅惑の花。使えばたちまち"それ"を忘れることは出来なくなる…。▼』 『…………………。』 『ま、ようするにリピーターが欲しくてつけた名前なんだけどねぇ…！▼』";;;;"990584752695472128";https://twitter.com/mayon_sosaku/status/990584752695472128
